query_id,participant_id,source_excel_row,prompt_group,query_raw,self_reported_title,query_clean,cleanup_actions,content_review_status,candidate_movie_id,target_status,duplicate_cluster,screening_flags,final_eligibility,eligibility_reason,split
P018_G2,P018,19,2,A rich southern girl tries to survive the civil war and chases a man she can't have,Gone with the Wind,A rich southern girl tries to survive the civil war and chases a man she can't have,,pending_human_verification,M_8ee2c71d9612,unverified,,,,,
P018_G3,P018,19,3,A burning city with massive orange flames and black smoke against the night sky,Gone with the Wind,A burning city with massive orange flames and black smoke against the night sky,,pending_human_verification,M_8ee2c71d9612,unverified,,,,,
P019_G1,P019,20,1,"Once again, I must ask too much of you, Harry",Harry Potter and the Half-Blood Prince,"Once again, I must ask too much of you, Harry",,pending_human_verification,M_e5e13e51db56,unverified,,,,,
P019_G2,P019,20,2,A teenage wizard learns about his enemy's dark past while trying to survive his sixth year at school,Harry Potter and the Half-Blood Prince,A teenage wizard learns about his enemy's dark past while trying to survive his sixth year at school,,pending_human_verification,M_e5e13e51db56,unverified,,,,,
P019_G3,P019,20,3,An old wizard making a huge wave of bright fire to fight off pale zombies in a dark,Harry Potter and the Half-Blood Prince,An old wizard making a huge wave of bright fire to fight off pale zombies in a dark,,pending_human_verification,M_e5e13e51db56,unverified,,,,,
P020_G1,P020,21,1,I don't have to defend my decisions to you!,12 Angry Men,I don't have to defend my decisions to you!,,pending_human_verification,M_3ab866882388,unverified,,,,,
P020_G2,P020,21,2,Twelve jurors locked in a deliberation room clash fiercely as one lone dissenter questions the murder case against a teenage boy.,12 Angry Men,Twelve jurors locked in a deliberation room clash fiercely as one lone dissenter questions the murder case against a teenage boy.,,pending_human_verification,M_3ab866882388,unverified,,,,,
P020_G3,P020,21,3,A man pulls out an identical switchblade knife and stabs it directly into the wooden table before the stunned jurors.,12 Angry Men,A man pulls out an identical switchblade knife and stabs it directly into the wooden table before the stunned jurors.,,pending_human_verification,M_3ab866882388,unverified,,,,,
P021_G1,P021,22,1,The farmers are the winners,Seven Samurai,The farmers are the winners,,pending_human_verification,M_3a5c6a992847,unverified,,,,,
P021_G2,P021,22,2,A poor farming village hires a group of wandering warriors to protect them from bandits,Seven Samurai,A poor farming village hires a group of wandering warriors to protect them from bandits,,pending_human_verification,M_3a5c6a992847,unverified,,,,,
P021_G3,P021,22,3,Warriors fighting bandits with swords in the heavy rain and deep mud of a poor village,Seven Samurai,Warriors fighting bandits with swords in the heavy rain and deep mud of a poor village,,pending_human_verification,M_3a5c6a992847,unverified,,,,,
P022_G1,P022,23,1,Once you have met someone you never really forget them,Spirited Away,Once you have met someone you never really forget them,,pending_human_verification,M_c8e063198718,unverified,,,,,
P022_G2,P022,23,2,A young girl gets trapped in a spirit world and has to work in a bathhouse to save her pig parents,Spirited Away,A young girl gets trapped in a spirit world and has to work in a bathhouse to save her pig parents,,pending_human_verification,M_c8e063198718,unverified,,,,,
P022_G3,P022,23,3,A boy holding a young girl's hand tightly to protect her while running across a red bridge full of strange spirits,Spirited Away,A boy holding a young girl's hand tightly to protect her while running across a red bridge full of strange spirits,,pending_human_verification,M_c8e063198718,unverified,,,,,
P023_G1,P023,24,1,I'm gonna make him an offer he can't refuse,The Godfather,I'm gonna make him an offer he can't refuse,,pending_human_verification,M_77d9cf161b98,unverified,DUP003,,,,
P023_G2,P023,24,2,"Determined to protect his family, Michael Corleone eliminates his enemies and orchestrates a brutal purge to consolidate his absolute power as the new Godfather",The Godfather,"Determined to protect his family, Michael Corleone eliminates his enemies and orchestrates a brutal purge to consolidate his absolute power as the new Godfather",,pending_human_verification,M_77d9cf161b98,unverified,,,,,
P023_G3,P023,24,3,"Don Vito's dimly lit office, where harsh window blinds cut through the heavy shadows to shroud his eyes in darkness, creating a chilling contrast with the bright, sun-drenched wedding outside.",The Godfather,"Don Vito's dimly lit office, where harsh window blinds cut through the heavy shadows to shroud his eyes in darkness, creating a chilling contrast with the bright, sun-drenched wedding outside.",,pending_human_verification,M_77d9cf161b98,unverified,,,,,
P024_G1,P024,25,1,she is nice because she is rich,Parasite,she is nice because she is rich,,pending_human_verification,M_67f2ddb503c9,unverified,,,,,
P024_G2,P024,25,2,a poor family tricks their way into working for a very rich family but things go completely wrong,Parasite,a poor family tricks their way into working for a very rich family but things go completely wrong,,pending_human_verification,M_67f2ddb503c9,unverified,,,,,
P024_G3,P024,25,3,dirty water flooding a poor basement house while the rich family's huge green lawn stays perfect in the rain,Parasite,dirty water flooding a poor basement house while the rich family's huge green lawn stays perfect in the rain,,pending_human_verification,M_67f2ddb503c9,unverified,,,,,
P025_G1,P025,26,1,Come with me if you want to live.,Terminator 2: Judgment Day,Come with me if you want to live.,,pending_human_verification,M_e05c40bbc943,unverified,,,,,
P025_G2,P025,26,2,"A reprogrammed cyborg is sent from the future to protect a rebellious young boy from an advanced, shape-shifting liquid metal assassin.",Terminator 2: Judgment Day,"A reprogrammed cyborg is sent from the future to protect a rebellious young boy from an advanced, shape-shifting liquid metal assassin.",,pending_human_verification,M_e05c40bbc943,unverified,,,,,
P025_G3,P025,26,3,"A metal cybernetic arm slowly sinks into glowing molten steel, giving a final thumbs-up gesture before disappearing.",Terminator 2: Judgment Day,"A metal cybernetic arm slowly sinks into glowing molten steel, giving a final thumbs-up gesture before disappearing.",,pending_human_verification,M_e05c40bbc943,unverified,,,,,
P026_G1,P026,27,1,earn this,Saving Private Ryan,earn this,,pending_human_verification,M_29afa9249ba2,unverified,,short_query_review_only,,,
P026_G2,P026,27,2,a group of tired soldiers walk across a war zone to find one man and send him home after his brothers die,Saving Private Ryan,a group of tired soldiers walk across a war zone to find one man and send him home after his brothers die,,pending_human_verification,M_29afa9249ba2,unverified,,,,,
P026_G3,P026,27,3,soldiers crawling in bloody water on a grey beach while bullets splash loudly all around them,Saving Private Ryan,soldiers crawling in bloody water on a grey beach while bullets splash loudly all around them,,pending_human_verification,M_29afa9249ba2,unverified,,,,,
P027_G1,P027,28,1,"Heroes are made by the paths they choose, not the powers they are graced with.",Iron Man 3,"Heroes are made by the paths they choose, not the powers they are graced with.",,pending_human_verification,M_447a6f05e6e4,unverified,,,,,
P027_G2,P027,28,2,A superhero battles a terrorist who can manipulate a powerful experimental technology.,Iron Man 3,A superhero battles a terrorist who can manipulate a powerful experimental technology.,,pending_human_verification,M_447a6f05e6e4,unverified,,,,,
P027_G3,P027,28,3,Dozens of armored suits light up the night sky as they fly into battle.,Iron Man 3,Dozens of armored suits light up the night sky as they fly into battle.,,pending_human_verification,M_447a6f05e6e4,unverified,,,,,
P028_G1,P028,29,1,There is no spoon.,The Matrix,There is no spoon.,,pending_human_verification,M_603c8ea52814,unverified,,short_query_review_only,,,
P028_G2,P028,29,2,A computer hacker discovers that his reality is an artificial simulation and joins a rebellion against its creators.,The Matrix,A computer hacker discovers that his reality is an artificial simulation and joins a rebellion against its creators.,,pending_human_verification,M_603c8ea52814,unverified,,,,,
P028_G3,P028,29,3,"A dark futuristic city filled with green digital code, where people move through a simulated reality.",The Matrix,"A dark futuristic city filled with green digital code, where people move through a simulated reality.",,pending_human_verification,M_603c8ea52814,unverified,,,,,
P029_G1,P029,30,1,Remember who you are.,The Lion King,Remember who you are.,,pending_human_verification,M_3f5c95a88181,unverified,,short_query_review_only,,,
P029_G2,P029,30,2,A young lion must overcome loss and return home to reclaim his rightful place as king.,The Lion King,A young lion must overcome loss and return home to reclaim his rightful place as king.,,pending_human_verification,M_3f5c95a88181,unverified,,,,,
P029_G3,P029,30,3,A young lion stands alone on a vast rocky cliff as the golden sun rises over the African savanna.,The Lion King,A young lion stands alone on a vast rocky cliff as the golden sun rises over the African savanna.,,pending_human_verification,M_3f5c95a88181,unverified,,,,,
P030_G1,P030,31,1,We create our own demons.,Iron Man 3,We create our own demons.,,pending_human_verification,M_447a6f05e6e4,unverified,,,,,
P030_G2,P030,31,2,An eccentric inventor builds an army of remote-controlled suits to save his lover and defeat a terrorist mastermind after his home is destroyed.,Iron Man 3,An eccentric inventor builds an army of remote-controlled suits to save his lover and defeat a terrorist mastermind after his home is destroyed.,,pending_human_verification,M_447a6f05e6e4,unverified,,,,,
P030_G3,P030,31,3,"Dozens of glowing, armored suits fly through the dark night air above an illuminated harbor crane setup to fight superheated, orange-glowing soldiers.",Iron Man 3,"Dozens of glowing, armored suits fly through the dark night air above an illuminated harbor crane setup to fight superheated, orange-glowing soldiers.",,pending_human_verification,M_447a6f05e6e4,unverified,,,,,
P031_G1,P031,32,1,"​Life is like a box of chocolates, you never know what you're gonna get",Forrest Gump,"Life is like a box of chocolates, you never know what you're gonna get",remove_invisible_format_chars,pending_human_verification,M_c1447a5f1fdd,unverified,,,,,
P031_G2,P031,32,2,"A kind-hearted man with a low IQ inadvertently witnesses and influences major historical events, all while longing to reunite with his childhood sweetheart.",Forrest Gump,"A kind-hearted man with a low IQ inadvertently witnesses and influences major historical events, all while longing to reunite with his childhood sweetheart.",,pending_human_verification,M_c1447a5f1fdd,unverified,,,,,
P031_G3,P031,32,3,"A man in a light-colored suit sits on a bus stop bench with a box of chocolates on his lap, chatting with a stranger as a white feather drifts by.",Forrest Gump,"A man in a light-colored suit sits on a bus stop bench with a box of chocolates on his lap, chatting with a stranger as a white feather drifts by.",,pending_human_verification,M_c1447a5f1fdd,unverified,,,,,
P032_G1,P032,33,1,It’s not easy to stand alone against the ridicule of others.,12 Angry Men,It’s not easy to stand alone against the ridicule of others.,,pending_human_verification,M_3ab866882388,unverified,,,,,
P032_G2,P032,33,2,"Twelve jurors must decide the fate of a young man accused of murder, while one juror challenges the evidence.",12 Angry Men,"Twelve jurors must decide the fate of a young man accused of murder, while one juror challenges the evidence.",,pending_human_verification,M_3ab866882388,unverified,,,,,
P032_G3,P032,33,3,"Twelve men sit around a cramped jury room under harsh fluorescent lights, debating the fate of a young defendant.",12 Angry Men,"Twelve men sit around a cramped jury room under harsh fluorescent lights, debating the fate of a young defendant.",,pending_human_verification,M_3ab866882388,unverified,,,,,
P033_G1,P033,34,1,The world ain't no fairy tale,City Of God,The world ain't no fairy tale,,pending_human_verification,M_32e351738d20,unverified,,,,,
P033_G2,P033,34,2,Two boys grow up in a violent neighborhood where one becomes a photographer while the other rises to power through crime.,City Of God,Two boys grow up in a violent neighborhood where one becomes a photographer while the other rises to power through crime.,,pending_human_verification,M_32e351738d20,unverified,,,,,
P033_G3,P033,34,3,"Colorful yet gritty streets of a crowded Brazilian neighborhood filled with children, concrete houses, and armed gang members.",City Of God,"Colorful yet gritty streets of a crowded Brazilian neighborhood filled with children, concrete houses, and armed gang members.",,pending_human_verification,M_32e351738d20,unverified,,,,,
P034_G1,P034,35,1,"You mustn't be afraid to dream a little bigger, darling",Inception,"You mustn't be afraid to dream a little bigger, darling",,pending_human_verification,M_16fdfdc5ebe4,unverified,DUP002,,,,
P034_G2,P034,35,2,"A skilled thief enters people's dreams to steal secrets, but is given a dangerous mission to plant an idea instead",Inception,"A skilled thief enters people's dreams to steal secrets, but is given a dangerous mission to plant an idea instead",,pending_human_verification,M_16fdfdc5ebe4,unverified,,,,,
P034_G3,P034,35,3,A city street folds upward into the sky as two characters walk through a surreal dream world,Inception,A city street folds upward into the sky as two characters walk through a surreal dream world,,pending_human_verification,M_16fdfdc5ebe4,unverified,,,,,
P035_G1,P035,36,1,I am not a toy. I'm trash!,Toy Story 4,I am not a toy. I'm trash!,,pending_human_verification,M_348cb261fb24,unverified,,,,,
P035_G2,P035,36,2,"A loyal cowboy toy embarks on a road trip rescue mission for a child's handmade toy, leading him to rediscover his own independence.",Toy Story 4,"A loyal cowboy toy embarks on a road trip rescue mission for a child's handmade toy, leading him to rediscover his own independence.",,pending_human_verification,M_348cb261fb24,unverified,,,,,
P035_G3,P035,36,3,A massive Ferris wheel glows with dazzling neon colors over a bustling night carnival as hidden toys scurry across the walkways.,Toy Story 4,A massive Ferris wheel glows with dazzling neon colors over a bustling night carnival as hidden toys scurry across the walkways.,,pending_human_verification,M_348cb261fb24,unverified,,,,,
P036_G1,P036,37,1,"I love you forever, do you hear me? I love you forever, and I'm coming back.",Interstellar,"I love you forever, do you hear me? I love you forever, and I'm coming back.",,pending_human_verification,M_e513ad04054e,unverified,,,,,
P036_G2,P036,37,2,A former pilot leads an astronaut team through a cosmic wormhole to find a habitable new planet for dying humanity.,Interstellar,A former pilot leads an astronaut team through a cosmic wormhole to find a habitable new planet for dying humanity.,,pending_human_verification,M_e513ad04054e,unverified,,,,,
P036_G3,P036,37,3,A spacecraft plunges into a black hole.,Interstellar,A spacecraft plunges into a black hole.,,pending_human_verification,M_e513ad04054e,unverified,,,,,
P037_G1,P037,38,1,Love is the one thing that transcends time and space.,Interstellar,Love is the one thing that transcends time and space.,,pending_human_verification,M_e513ad04054e,unverified,,,,,
P037_G2,P037,38,2,"A father embarks on a dangerous space mission to save humanity, knowing that extreme time dilation might prevent him from ever seeing his children again.",Interstellar,"A father embarks on a dangerous space mission to save humanity, knowing that extreme time dilation might prevent him from ever seeing his children again.",,pending_human_verification,M_e513ad04054e,unverified,,,,,
P037_G3,P037,38,3,"A pitch-black sphere encircled by a blazing, warping golden ring of glowing accretion gas against deep space.",Interstellar,"A pitch-black sphere encircled by a blazing, warping golden ring of glowing accretion gas against deep space.",,pending_human_verification,M_e513ad04054e,unverified,,,,,
P038_G1,P038,39,1,"I'm not a smart man, but I know what love is",Forrest Gump,"I'm not a smart man, but I know what love is",,pending_human_verification,M_c1447a5f1fdd,unverified,,,,,
P038_G2,P038,39,2,A simple-minded man sits on a bus stop bench sharing the unbelievable adventures of his extraordinary life with strangers.,Forrest Gump,A simple-minded man sits on a bus stop bench sharing the unbelievable adventures of his extraordinary life with strangers.,,pending_human_verification,M_c1447a5f1fdd,unverified,,,,,
P038_G3,P038,39,3,A young woman wades through the National Mall reflecting pool to embrace an army soldier surrounded by peace demonstrators.,Forrest Gump,A young woman wades through the National Mall reflecting pool to embrace an army soldier surrounded by peace demonstrators.,,pending_human_verification,M_c1447a5f1fdd,unverified,,,,,
P039_G1,P039,40,1,There has been an awakening. Have you felt it?,Star Wars: The Force Awakens,There has been an awakening. Have you felt it?,,pending_human_verification,M_86d6dcb530f9,unverified,,,,,
P039_G2,P039,40,2,A lonely desert scavenger discovers her innate mystical powers and teams up with a runaway soldier to battle a rising dark galactic regime.,Star Wars: The Force Awakens,A lonely desert scavenger discovers her innate mystical powers and teams up with a runaway soldier to battle a rising dark galactic regime.,,pending_human_verification,M_86d6dcb530f9,unverified,,,,,
P039_G3,P039,40,3,"A solitary girl slides down a massive sand dune beside the rusted, colossal ruins of a crashed starship in an endless desert.",Star Wars: The Force Awakens,"A solitary girl slides down a massive sand dune beside the rusted, colossal ruins of a crashed starship in an endless desert.",,pending_human_verification,M_86d6dcb530f9,unverified,,,,,
P040_G1,P040,41,1,"The greatest teacher, failure is.",Star Wars: Episode VIII - The Last Jedi,"The greatest teacher, failure is.",,pending_human_verification,M_188d35f2a18d,unverified,,,,,
P040_G2,P040,41,2,"A young force-sensitive woman seeks training from an isolated, bitter master while a dwindling resistance fleet struggles to escape relentless pursuit by a tyrannical regime.",Star Wars: Episode VIII - The Last Jedi,"A young force-sensitive woman seeks training from an isolated, bitter master while a dwindling resistance fleet struggles to escape relentless pursuit by a tyrannical regime.",,pending_human_verification,M_188d35f2a18d,unverified,,,,,
P040_G3,P040,41,3,Two warriors battle a squad of elite guards in crimson armor inside a minimalist throne room draped in bright red fabric.,Star Wars: Episode VIII - The Last Jedi,Two warriors battle a squad of elite guards in crimson armor inside a minimalist throne room draped in bright red fabric.,,pending_human_verification,M_188d35f2a18d,unverified,,,,,
P041_G1,P041,42,1,I can't remember.,The Godfather,I can't remember.,,pending_human_verification,M_77d9cf161b98,unverified,,possible_non_response;short_query_review_only,,,
P041_G2,P041,42,2,Quiet yet powerful.,The Godfather,Quiet yet powerful.,,pending_human_verification,M_77d9cf161b98,unverified,,short_query_review_only,,,
